"site_id","utm_zone","epsg","cell_e0","cell_n0","x_centroid","y_centroid","lon_centroid","lat_centroid"
"UTM29N_E8e+05_N4600000","29N",32629,8e+05,4600000,805000,4605000,-5.34381073278419,41.538533479686
"UTM29N_E820000_N4680000","29N",32629,820000,4680000,825000,4685000,-5.06058700632553,42.2495276165288
"UTM29N_E720000_N4350000","29N",32629,720000,4350000,725000,4355000,-6.3901615211044,39.3151674885605
"UTM29N_E730000_N4360000","29N",32629,730000,4360000,735000,4365000,-6.27078630167353,39.4025159550663
"UTM29N_E810000_N4700000","29N",32629,810000,4700000,815000,4705000,-5.1706275873423,42.4333449545038
"UTM29N_E950000_N4300000","29N",32629,950000,4300000,955000,4305000,-3.76349073593486,38.7763460305365
"UTM29N_E780000_N4560000","29N",32629,780000,4560000,785000,4565000,-5.60192319382389,41.1862346968431
"UTM29N_E1060000_N4190000","29N",32629,1060000,4190000,1065000,4195000,-2.59171901756851,37.7278484995034
"UTM29N_E1070000_N4190000","29N",32629,1070000,4190000,1075000,4195000,-2.47896660607334,37.7216390709735
"UTM29N_E8e+05_N4690000","29N",32629,8e+05,4690000,805000,4695000,-5.29723741496589,42.34746738539
"UTM29N_E850000_N4530000","29N",32629,850000,4530000,855000,4535000,-4.78651516532741,40.8891077547228
"UTM29N_E720000_N4370000","29N",32629,720000,4370000,725000,4375000,-6.38343815842061,39.4951942071523
"UTM29N_E1100000_N4340000","29N",32629,1100000,4340000,1105000,4345000,-2.01241307457773,39.0443377874091
"UTM29N_E1090000_N4670000","29N",32629,1090000,4670000,1095000,4675000,-1.81730086210012,42.001784704295
"UTM29N_E1290000_N4660000","29N",32629,1290000,4660000,1295000,4665000,0.555283739597261,41.737659457016
"UTM29N_E840000_N4520000","29N",32629,840000,4520000,845000,4525000,-4.91044892025706,40.8035252329231
"UTM29N_E1080000_N4680000","29N",32629,1080000,4680000,1085000,4685000,-1.92716426624427,42.0986384475924
"UTM29N_E1090000_N4690000","29N",32629,1090000,4690000,1095000,4695000,-1.79700305171184,42.1804947396739
"UTM29N_E990000_N4460000","29N",32629,990000,4460000,995000,4465000,-3.18660071739813,40.1892674090521
"UTM29N_E1080000_N4690000","29N",32629,1080000,4690000,1085000,4695000,-1.91715854240466,42.188015154083
"UTM29N_E1050000_N4710000","29N",32629,1050000,4710000,1055000,4715000,-2.25875355202264,42.3887064768794
"UTM29N_E740000_N4590000","29N",32629,740000,4590000,745000,4595000,-6.06610936243113,41.4691936918787
"UTM29N_E790000_N4300000","29N",32629,790000,4300000,795000,4305000,-5.60107169189681,38.8443872560568
"UTM29N_E750000_N4560000","29N",32629,750000,4560000,755000,4565000,-5.95910495226359,41.1962298541147
"UTM29N_E1070000_N4700000","29N",32629,1070000,4700000,1075000,4705000,-2.02747547673659,42.2848071609339
"UTM29N_E760000_N4550000","29N",32629,760000,4550000,765000,4555000,-5.844344136923,41.1030780125646
"UTM29N_E690000_N4430000","29N",32629,690000,4430000,695000,4435000,-6.71423071982422,40.0427026470163
"UTM29N_E920000_N4420000","29N",32629,920000,4420000,925000,4425000,-4.03170074868742,39.8685865892352
"UTM29N_E770000_N4550000","29N",32629,770000,4550000,775000,4555000,-5.72544536356228,41.0997567427288
"UTM29N_E780000_N4550000","29N",32629,780000,4550000,785000,4555000,-5.60656683469698,41.0963130247787
"UTM29N_E1070000_N4200000","29N",32629,1070000,4200000,1075000,4205000,-2.47106458062618,37.8111862812828
"UTM29N_E1120000_N4660000","29N",32629,1120000,4660000,1125000,4665000,-1.46867966938784,41.8893324111028
"UTM29N_E670000_N4290000","29N",32629,670000,4290000,675000,4295000,-6.98515719594803,38.7863862467999
"UTM29N_E840000_N4500000","29N",32629,840000,4500000,845000,4505000,-4.92144893388168,40.6238100178827
"UTM29N_E820000_N4670000","29N",32629,820000,4670000,825000,4675000,-5.06617379029728,42.1596770878183
"UTM29N_E1050000_N4170000","29N",32629,1050000,4170000,1055000,4175000,-2.71967113699766,37.5547693292245
"UTM29N_E1080000_N4200000","29N",32629,1080000,4200000,1085000,4205000,-2.35821292868293,37.8048496300956
